datum,atc_code,daily_sales,date,medicine_name,past_7_day_sales,past_30_day_avg_sales,next_7_day_demand,month,live_temp,live_humidity,is_rainy,fever_trend,cold_trend,dengue_trend,allergy_trend,current_stock,days_to_expiry,price_per_unit
3/15/2014,M01AB,4.0,2014-03-15,Diclofenac,31.01,4.523666666666667,36.36,3,29.82652757641764,38.394262888178815,0,12,20,2,77,42,170,150
3/16/2014,M01AB,2.68,2014-03-16,Diclofenac,30.67,4.512666666666666,35.7,3,29.548344456616068,39.360110273103764,0,32,32,10,59,41,214,150
3/17/2014,M01AB,8.68,2014-03-17,Diclofenac,32.35,4.468666666666666,39.36,3,27.78221701444886,46.10812849852034,0,17,32,0,60,146,76,150
3/18/2014,M01AB,8.0,2014-03-18,Diclofenac,34.35,4.724666666666667,36.36,3,28.920233687407936,38.74930109164183,0,36,39,19,56,12,191,150
3/19/2014,M01AB,4.0,2014-03-19,Diclofenac,36.35,4.991333333333333,32.36,3,29.30904184356032,36.87698434514864,0,37,29,11,50,134,202,150
3/20/2014,M01AB,3.0,2014-03-20,Diclofenac,34.01,4.88,30.7,3,31.585683339328373,41.75030070746789,0,27,25,1,71,116,50,150
3/21/2014,M01AB,6.0,2014-03-21,Diclofenac,34.7,4.735333333333333,31.7,3,30.51542743435269,39.56942599173113,0,30,20,1,51,96,146,150
3/22/2014,M01AB,3.34,2014-03-22,Diclofenac,36.36,4.824333333333333,28.369999999999997,3,27.3554397669559,35.75429820740058,0,30,40,8,50,116,177,150
3/23/2014,M01AB,6.34,2014-03-23,Diclofenac,35.7,4.702333333333333,29.03,3,30.48612595409219,46.694489005607394,0,34,33,4,51,20,350,150
3/24/2014,M01AB,5.68,2014-03-24,Diclofenac,39.36,4.713666666666667,25.689999999999998,3,29.422376579375523,38.94256316324006,0,24,35,4,73,51,204,150
3/25/2014,M01AB,4.0,2014-03-25,Diclofenac,36.36,4.669666666666667,25.35,3,28.98461699954106,38.86639163811595,0,28,11,6,79,83,356,150
3/26/2014,M01AB,2.34,2014-03-26,Diclofenac,32.36,4.769666666666667,25.689999999999998,3,30.917514433261303,40.47950605572429,0,22,24,0,66,86,90,150
3/27/2014,M01AB,4.0,2014-03-27,Diclofenac,30.7,4.614333333333334,25.35,3,31.546499283743927,45.19035030762652,0,25,31,15,58,128,313,150
3/28/2014,M01AB,2.67,2014-03-28,Diclofenac,31.7,4.581,22.35,3,31.396920178674296,34.960764020443015,0,36,35,6,53,89,181,150
3/29/2014,M01AB,4.0,2014-03-29,Diclofenac,28.369999999999997,4.503333333333333,22.68,3,28.741173715166042,40.82795754826162,0,24,13,12,70,82,152,150
3/30/2014,M01AB,3.0,2014-03-30,Diclofenac,29.03,4.536666666666666,20.68,3,29.536181436223178,46.26181648538088,0,39,15,12,77,11,143,150
3/31/2014,M01AB,5.34,2014-03-31,Diclofenac,25.689999999999998,4.403333333333333,19.68,3,30.496895147105345,40.386186042218945,0,20,31,3,65,125,156,150
4/1/2014,M01AB,4.34,2014-04-01,Diclofenac,25.35,4.37,20.68,4,35.46331769068354,41.29399806208956,0,36,32,17,65,111,242,150
4/2/2014,M01AB,2.0,2014-04-02,Diclofenac,25.689999999999998,4.403333333333333,20.68,4,33.281238643232065,43.14480944111804,0,22,34,10,75,144,144,150
4/3/2014,M01AB,1.0,2014-04-03,Diclofenac,25.35,4.336666666666667,24.68,4,33.721511535004275,45.62064758927037,0,30,12,17,76,140,138,150
4/4/2014,M01AB,3.0,2014-04-04,Diclofenac,22.35,4.191999999999999,27.009999999999998,4,32.34049753899096,48.992411746919586,0,23,29,13,76,11,357,150
4/5/2014,M01AB,2.0,2014-04-05,Diclofenac,22.68,4.180666666666666,30.009999999999998,4,32.205690063879,43.98199246675182,0,22,42,11,75,84,286,150
4/6/2014,M01AB,2.0,2014-04-06,Diclofenac,20.68,4.147333333333333,35.03,4,35.218788733591296,47.47995539229729,0,37,29,8,77,64,155,150
4/7/2014,M01AB,6.34,2014-04-07,Diclofenac,19.68,4.080666666666667,36.03,4,36.034360042856235,40.69389351885933,0,17,15,12,60,112,93,150
4/8/2014,M01AB,4.34,2014-04-08,Diclofenac,20.68,4.147333333333333,31.03,4,33.8919848176295,40.66884489121484,0,38,21,7,61,28,48,150
4/9/2014,M01AB,6.0,2014-04-09,Diclofenac,20.68,4.258666666666667,31.03,4,35.50529934683804,43.55159793394515,0,20,28,9,78,84,145,150
4/10/2014,M01AB,3.33,2014-04-10,Diclofenac,24.68,4.236,27.03,4,34.54245403757145,49.314086165619784,0,23,34,4,51,70,320,150
4/11/2014,M01AB,6.0,2014-04-11,Diclofenac,27.009999999999998,4.147,29.04,4,33.032320368092314,45.20662391854131,0,28,27,11,77,28,360,150
4/12/2014,M01AB,7.02,2014-04-12,Diclofenac,30.009999999999998,4.135666666666666,30.04,4,34.54209340826262,45.869433586699856,0,24,24,0,65,126,269,150
4/13/2014,M01AB,3.0,2014-04-13,Diclofenac,35.03,4.292666666666666,30.36,4,36.30705484969896,45.83423878672058,0,31,36,18,66,130,352,150
4/14/2014,M01AB,1.34,2014-04-14,Diclofenac,36.03,4.248,27.36,4,33.946260941335076,48.327623947760195,0,34,33,11,68,96,189,150
4/15/2014,M01AB,4.34,2014-04-15,Diclofenac,31.03,4.1593333333333335,27.36,4,36.34696548372101,43.16933792238644,0,19,30,17,58,28,252,150
4/16/2014,M01AB,2.0,2014-04-16,Diclofenac,31.03,4.214666666666667,28.36,4,30.070382343865383,47.0648553254647,0,13,24,14,72,30,25,150
4/17/2014,M01AB,5.34,2014-04-17,Diclofenac,27.03,3.992,32.7,4,35.23285375656283,42.50735200843461,0,16,35,3,76,52,291,150
4/18/2014,M01AB,7.0,2014-04-18,Diclofenac,29.04,3.9033333333333333,29.36,4,34.13057060235726,50.94981796776228,0,33,19,8,56,77,293,150
4/19/2014,M01AB,7.34,2014-04-19,Diclofenac,30.04,4.003333333333333,25.36,4,33.5514889743012,42.598826687109934,0,15,12,8,51,125,80,150
4/20/2014,M01AB,0.0,2014-04-20,Diclofenac,30.36,4.148,22.36,4,34.137641164803256,42.35283209076414,0,10,38,8,67,44,108,150
4/21/2014,M01AB,1.34,2014-04-21,Diclofenac,27.36,3.948,26.36,4,31.01864662809866,46.64900944046415,0,31,14,8,72,80,57,150
4/22/2014,M01AB,5.34,2014-04-22,Diclofenac,27.36,3.881333333333333,26.36,4,33.67049216824373,45.239365294296974,0,37,33,12,61,131,148,150
4/23/2014,M01AB,6.34,2014-04-23,Diclofenac,28.36,3.848,24.35,4,34.535668857267616,45.980557218782806,0,29,14,18,75,60,126,150
4/24/2014,M01AB,2.0,2014-04-24,Diclofenac,32.7,3.8699999999999997,22.349999999999998,4,36.21684106711228,45.68194138647696,0,20,41,18,75,67,283,150
4/25/2014,M01AB,3.0,2014-04-25,Diclofenac,29.36,3.8033333333333332,20.35,4,33.22259467258953,41.728823403577685,0,28,35,6,67,120,355,150
4/26/2014,M01AB,4.34,2014-04-26,Diclofenac,25.36,3.825333333333333,24.69,4,32.78725959566022,49.84007678723845,0,12,36,5,71,32,300,150
4/27/2014,M01AB,4.0,2014-04-27,Diclofenac,22.36,3.8366666666666664,24.35,4,33.247364434623194,47.68062661766733,0,12,21,1,79,56,355,150
4/28/2014,M01AB,1.34,2014-04-28,Diclofenac,26.36,3.881,22.020000000000003,4,35.37310317655311,49.07684985380135,0,10,41,9,63,124,336,150
4/29/2014,M01AB,3.33,2014-04-29,Diclofenac,26.36,3.792333333333333,23.68,4,34.49312666448952,43.41500733266873,0,19,15,4,64,38,143,150
4/30/2014,M01AB,4.34,2014-04-30,Diclofenac,24.35,3.8033333333333332,27.689999999999998,4,33.20535969434944,46.24957063414551,0,35,22,6,50,147,185,150
5/1/2014,M01AB,0.0,2014-05-01,Diclofenac,22.349999999999998,3.77,26.68,5,35.769901149670034,55.59210538670408,0,23,40,11,29,72,218,150
5/2/2014,M01AB,7.34,2014-05-02,Diclofenac,20.35,3.6253333333333333,28.68,5,35.14561632402206,58.38400787860452,0,26,27,10,10,107,95,150
5/3/2014,M01AB,4.0,2014-05-03,Diclofenac,24.69,3.8033333333333337,23.34,5,36.452967485799334,58.480744395488856,0,11,38,6,23,144,221,150
5/4/2014,M01AB,1.67,2014-05-04,Diclofenac,24.35,3.9033333333333338,24.34,5,33.94692035918397,55.57915240887434,0,23,19,6,29,21,57,150
5/5/2014,M01AB,3.0,2014-05-05,Diclofenac,22.020000000000003,3.8590000000000004,24.67,5,34.508506780103346,50.44614660447024,0,14,12,3,15,56,179,150
5/6/2014,M01AB,7.34,2014-05-06,Diclofenac,23.68,3.8923333333333336,26.01,5,34.411837770301766,60.33898566126307,0,16,27,2,30,49,276,150
5/7/2014,M01AB,3.33,2014-05-07,Diclofenac,27.689999999999998,4.070333333333333,22.35,5,32.80472757780182,56.66796230107042,0,24,38,2,20,135,314,150
5/8/2014,M01AB,2.0,2014-05-08,Diclofenac,26.68,3.9699999999999998,20.02,5,35.44418041559686,53.174688875826575,0,30,35,15,32,53,263,150
5/9/2014,M01AB,2.0,2014-05-09,Diclofenac,28.68,3.892,20.36,5,35.39158290826983,56.21962641480008,0,38,41,9,14,129,287,150
5/10/2014,M01AB,5.0,2014-05-10,Diclofenac,23.34,3.758666666666666,23.7,5,35.00767018496369,50.46671935464243,0,28,36,0,13,112,363,150
5/11/2014,M01AB,2.0,2014-05-11,Diclofenac,24.34,3.814333333333333,21.04,5,34.64811929993728,58.16605920241313,0,30,20,1,28,102,121,150
5/12/2014,M01AB,4.34,2014-05-12,Diclofenac,24.67,3.6809999999999996,22.38,5,32.87694388692438,50.58636476716254,0,15,15,8,12,85,154,150
5/13/2014,M01AB,3.68,2014-05-13,Diclofenac,26.01,3.591666666666667,26.38,5,34.369032015851964,54.33749652388875,0,29,40,2,16,120,174,150
5/14/2014,M01AB,1.0,2014-05-14,Diclofenac,22.35,3.6143333333333336,23.7,5,34.48592822520985,55.73336334881665,0,13,17,8,11,101,257,150
5/15/2014,M01AB,2.34,2014-05-15,Diclofenac,20.02,3.603,24.7,5,33.79658409616757,58.116519135946284,0,23,33,14,30,65,299,150
5/16/2014,M01AB,5.34,2014-05-16,Diclofenac,20.36,3.536333333333333,26.04,5,34.758071432500984,55.319634029303124,0,10,27,19,34,62,304,150
5/17/2014,M01AB,2.34,2014-05-17,Diclofenac,23.7,3.6476666666666664,25.7,5,35.60607628522181,56.90488862083765,0,32,18,6,10,90,300,150
5/18/2014,M01AB,3.34,2014-05-18,Diclofenac,21.04,3.5476666666666667,26.36,5,37.82927885181579,54.915499274651346,0,17,31,3,31,57,104,150
5/19/2014,M01AB,8.34,2014-05-19,Diclofenac,22.38,3.425666666666667,25.02,5,35.261866719247756,54.903442147167155,0,29,19,15,10,129,57,150
5/20/2014,M01AB,1.0,2014-05-20,Diclofenac,26.38,3.459,19.36,5,35.38632558608415,55.25643175104489,0,15,10,2,16,137,23,150
5/21/2014,M01AB,2.0,2014-05-21,Diclofenac,23.7,3.4923333333333333,18.36,5,34.88833112635075,54.432826237442875,0,24,12,13,11,54,314,150
5/22/2014,M01AB,3.68,2014-05-22,Diclofenac,24.7,3.514333333333333,17.7,5,32.12184317705144,49.94028927075569,0,15,35,19,21,101,335,150
5/23/2014,M01AB,5.0,2014-05-23,Diclofenac,26.04,3.459,18.02,5,34.960229186826176,52.69502951891012,0,24,16,3,25,111,199,150
5/24/2014,M01AB,3.0,2014-05-24,Diclofenac,25.7,3.4143333333333334,16.04,5,35.09034531491154,55.7343245233351,0,10,36,5,24,49,17,150
5/25/2014,M01AB,2.0,2014-05-25,Diclofenac,26.36,3.447666666666667,18.71,5,38.69486316872793,54.25263698953384,0,19,24,13,10,71,66,150
5/26/2014,M01AB,2.68,2014-05-26,Diclofenac,25.02,3.4143333333333334,17.71,5,34.71145855282832,54.53257275345428,0,13,32,2,30,37,73,150
5/27/2014,M01AB,0.0,2014-05-27,Diclofenac,19.36,3.359,19.03,5,35.452321013500416,54.029938991683856,0,23,30,16,16,90,41,150
5/28/2014,M01AB,1.34,2014-05-28,Diclofenac,18.36,3.2256666666666667,22.03,5,34.94793234544213,52.40920482180454,0,31,22,6,31,141,110,150
5/29/2014,M01AB,4.0,2014-05-29,Diclofenac,17.7,3.2256666666666667,21.69,5,33.2469829435707,53.52070161707112,0,21,41,15,10,119,232,150
5/30/2014,M01AB,3.02,2014-05-30,Diclofenac,18.02,3.2479999999999998,18.03,5,36.71423422177253,54.07950476683422,0,34,29,14,18,61,143,150
5/31/2014,M01AB,5.67,2014-05-31,Diclofenac,16.04,3.2039999999999997,20.009999999999998,5,36.12789954903016,55.01542942162555,0,29,14,6,18,109,144,150
6/1/2014,M01AB,1.0,2014-06-01,Diclofenac,18.71,3.393,23.34,6,31.18654792056457,81.18013503340914,1,88,41,10,11,80,165,150
6/2/2014,M01AB,4.0,2014-06-02,Diclofenac,17.71,3.181666666666666,23.34,6,28.63591881780789,79.45834912734279,0,54,37,16,31,19,35,150
6/3/2014,M01AB,3.0,2014-06-03,Diclofenac,19.03,3.181666666666666,25.67,6,32.104191466404146,76.91103423292274,0,89,37,3,26,17,86,150
6/4/2014,M01AB,1.0,2014-06-04,Diclofenac,22.03,3.226,31.35,6,27.89722340581158,75.80575388024366,1,70,21,14,23,16,46,150
6/5/2014,M01AB,0.34,2014-06-05,Diclofenac,21.69,3.1593333333333335,34.69,6,30.880285640700407,87.79231162212568,0,85,15,9,26,76,311,150
6/6/2014,M01AB,5.0,2014-06-06,Diclofenac,18.03,2.926,38.69,6,33.28568343871497,76.61055490920631,0,63,35,11,30,53,63,150
6/7/2014,M01AB,9.0,2014-06-07,Diclofenac,20.009999999999998,2.981666666666667,34.69,6,28.514195512303967,78.44412499620685,0,55,26,6,28,46,157,150
6/8/2014,M01AB,1.0,2014-06-08,Diclofenac,23.34,3.2150000000000003,29.689999999999998,6,29.150553405595844,81.5510009075418,0,68,19,17,20,56,96,150
6/9/2014,M01AB,6.33,2014-06-09,Diclofenac,23.34,3.1816666666666666,29.03,6,30.14947704763146,81.08258182869704,1,53,35,15,23,12,292,150
6/10/2014,M01AB,8.68,2014-06-10,Diclofenac,25.67,3.226,27.04,6,29.244786518825702,81.56259707768471,1,73,25,8,34,30,280,150
6/11/2014,M01AB,4.34,2014-06-11,Diclofenac,31.35,3.448666666666667,23.36,6,27.674004853400803,78.67184879140348,1,75,41,4,14,22,122,150
6/12/2014,M01AB,4.34,2014-06-12,Diclofenac,34.69,3.448666666666667,21.019999999999996,6,30.102844462209042,80.71567421191864,1,68,25,18,15,57,66,150
6/13/2014,M01AB,1.0,2014-06-13,Diclofenac,38.69,3.4706666666666663,19.68,6,28.406544429410843,80.1840309927226,1,81,23,17,29,103,362,150
6/14/2014,M01AB,4.0,2014-06-14,Diclofenac,34.69,3.4706666666666663,26.020000000000003,6,30.710388645952772,79.06360589737614,1,84,34,2,18,65,297,150
6/15/2014,M01AB,0.34,2014-06-15,Diclofenac,29.689999999999998,3.5260000000000002,28.020000000000003,6,28.620863648649294,80.73622922531402,0,89,10,9,16,121,144,150
6/16/2014,M01AB,4.34,2014-06-16,Diclofenac,29.03,3.3593333333333333,31.68,6,32.32490160752631,83.16609664025212,1,51,25,7,20,57,173,150
6/17/2014,M01AB,5.0,2014-06-17,Diclofenac,27.04,3.426,29.68,6,28.825120061495646,79.93339932969401,1,82,42,15,15,66,62,150
6/18/2014,M01AB,2.0,2014-06-18,Diclofenac,23.36,3.481333333333333,27.68,6,29.516907725691485,79.95335853906927,1,59,31,19,20,52,203,150
6/19/2014,M01AB,3.0,2014-06-19,Diclofenac,21.019999999999996,3.2700000000000005,33.68,6,31.220275826054504,83.20448310462795,0,82,37,5,26,145,75,150
6/20/2014,M01AB,7.34,2014-06-20,Diclofenac,19.68,3.336666666666667,33.68,6,28.153703525349066,82.88408107945644,0,72,32,1,22,39,245,150
6/21/2014,M01AB,6.0,2014-06-21,Diclofenac,26.020000000000003,3.5146666666666664,30.68,6,30.341189901906194,84.75180932289045,0,83,11,3,17,35,83,150
6/22/2014,M01AB,4.0,2014-06-22,Diclofenac,28.020000000000003,3.5919999999999996,25.02,6,31.960714131423643,74.73130929656126,1,85,24,14,33,79,299,150
6/23/2014,M01AB,2.34,2014-06-23,Diclofenac,31.68,3.5586666666666664,21.020000000000003,6,27.58877514815816,82.71535754950817,1,79,14,4,28,77,147,150
6/24/2014,M01AB,3.0,2014-06-24,Diclofenac,29.68,3.5366666666666666,24.68,6,30.276950787798455,81.80474013620653,0,88,41,14,23,84,153,150
6/25/2014,M01AB,8.0,2014-06-25,Diclofenac,27.68,3.57,26.019999999999996,6,30.389824191372636,77.3430428067402,1,54,32,7,20,38,19,150
6/26/2014,M01AB,3.0,2014-06-26,Diclofenac,33.68,3.747333333333333,21.019999999999996,6,31.172734307665966,80.75476375399653,0,70,32,6,12,80,291,150
6/27/2014,M01AB,4.34,2014-06-27,Diclofenac,33.68,3.8473333333333333,20.349999999999998,6,28.144573933682878,83.153365243274,1,65,42,9,18,76,237,150
6/28/2014,M01AB,0.34,2014-06-28,Diclofenac,30.68,3.9473333333333334,20.349999999999998,6,28.019315080373584,77.5125232325438,1,56,15,11,29,99,53,150
6/29/2014,M01AB,0.0,2014-06-29,Diclofenac,25.02,3.8253333333333335,23.349999999999998,6,30.782912348425345,81.32768728706841,1,58,42,15,15,27,352,150
6/30/2014,M01AB,6.0,2014-06-30,Diclofenac,21.020000000000003,3.724666666666667,27.349999999999998,6,30.44547700984978,82.61406102719305,0,73,29,2,25,32,345,150
7/1/2014,M01AB,4.34,2014-07-01,Diclofenac,24.68,3.735666666666667,23.35,7,28.375739275518814,84.78694131240553,1,75,11,61,19,62,88,150
7/2/2014,M01AB,3.0,2014-07-02,Diclofenac,26.019999999999996,3.847,25.349999999999998,7,28.519672314245465,87.57314292266456,1,81,29,67,32,25,316,150
7/3/2014,M01AB,2.33,2014-07-03,Diclofenac,21.019999999999996,3.8136666666666668,25.35,7,26.979962917632264,88.90290512992723,1,76,32,50,29,121,109,150
7/4/2014,M01AB,4.34,2014-07-04,Diclofenac,20.349999999999998,3.7913333333333337,25.35,7,28.348380545741506,85.61160548337114,1,68,35,76,24,46,139,150
7/5/2014,M01AB,3.34,2014-07-05,Diclofenac,20.349999999999998,3.9026666666666667,23.009999999999998,7,28.439608709948022,85.36254040271936,0,57,35,62,14,64,54,150
7/6/2014,M01AB,4.0,2014-07-06,Diclofenac,23.349999999999998,4.002666666666666,28.009999999999998,7,26.928472872960448,87.59486619441168,1,86,11,75,20,69,259,150
7/7/2014,M01AB,2.0,2014-07-07,Diclofenac,27.349999999999998,3.969333333333333,26.009999999999998,7,30.798661766717135,90.40491915071108,1,55,11,50,22,86,52,150
7/8/2014,M01AB,6.34,2014-07-08,Diclofenac,23.35,3.7359999999999998,29.009999999999998,7,28.71074938136768,89.93120200357633,1,68,42,78,12,40,178,150
7/9/2014,M01AB,3.0,2014-07-09,Diclofenac,25.349999999999998,3.914,26.009999999999998,7,26.213044754196027,85.41576181244098,1,72,19,62,25,59,80,150
7/10/2014,M01AB,2.33,2014-07-10,Diclofenac,25.35,3.803,27.009999999999998,7,28.984830412950746,89.95650365534706,1,51,37,52,15,135,237,150
7/11/2014,M01AB,2.0,2014-07-11,Diclofenac,25.35,3.591333333333333,26.68,7,26.537977494659017,85.49218067150048,1,52,24,62,30,11,27,150
7/12/2014,M01AB,8.34,2014-07-12,Diclofenac,23.009999999999998,3.5133333333333336,33.68,7,29.18062690561368,83.16949060601969,0,51,27,53,13,103,262,150
7/13/2014,M01AB,2.0,2014-07-13,Diclofenac,28.009999999999998,3.646666666666667,32.67,7,29.737893368511106,86.8985692868583,0,62,36,72,23,28,171,150
7/14/2014,M01AB,5.0,2014-07-14,Diclofenac,26.009999999999998,3.68,33.67,7,26.768976522472435,91.3689081147572,1,81,21,56,14,96,99,150
7/15/2014,M01AB,3.34,2014-07-15,Diclofenac,29.009999999999998,3.7133333333333334,31.669999999999998,7,29.445064193866482,89.96788165642413,0,74,23,54,30,129,163,150
7/16/2014,M01AB,4.0,2014-07-16,Diclofenac,26.009999999999998,3.8133333333333335,33.33,7,28.619171390404748,87.99528457788041,0,62,40,46,29,88,209,150
7/17/2014,M01AB,2.0,2014-07-17,Diclofenac,27.009999999999998,3.802,32.0,7,29.233090239991736,86.74988354922682,1,79,18,77,28,127,111,150
7/18/2014,M01AB,9.0,2014-07-18,Diclofenac,26.68,3.702,35.339999999999996,7,30.84518947398092,86.8307135916507,1,68,35,69,25,56,139,150
7/19/2014,M01AB,7.33,2014-07-19,Diclofenac,33.68,3.9353333333333333,31.339999999999996,7,27.631917825995693,88.32635471758239,0,73,36,67,27,146,30,150
