date,medicine_name,category,past_7_day_sales,past_30_day_avg_sales,current_stock,days_to_expiry,price_per_unit,daily_sales_real
2014-03-31,Diclofenac,M01AB,37,160,32,286,317,5.34
2014-04-01,Diclofenac,M01AB,30,130,33,331,92,4.34
2014-04-02,Diclofenac,M01AB,14,60,19,255,59,2.0
2014-04-03,Diclofenac,M01AB,6,30,5,181,47,1.0
2014-04-04,Diclofenac,M01AB,20,90,16,280,301,3.0
2014-04-05,Diclofenac,M01AB,16,60,18,63,270,2.0
2014-04-06,Diclofenac,M01AB,12,60,12,266,147,2.0
2014-04-07,Diclofenac,M01AB,40,190,54,188,127,6.34
2014-04-08,Diclofenac,M01AB,31,130,33,130,144,4.34
2014-04-09,Diclofenac,M01AB,37,180,35,142,302,6.0
2014-04-10,Diclofenac,M01AB,26,99,14,306,123,3.33
2014-04-11,Diclofenac,M01AB,43,180,42,245,91,6.0
2014-04-12,Diclofenac,M01AB,44,210,60,266,20,7.02
2014-04-13,Diclofenac,M01AB,19,90,9,387,146,3.0
2014-04-14,Diclofenac,M01AB,11,40,6,337,176,1.34
2014-04-15,Diclofenac,M01AB,29,130,23,146,202,4.34
2014-04-16,Diclofenac,M01AB,15,60,12,32,165,2.0
2014-04-17,Diclofenac,M01AB,31,160,37,360,303,5.34
2014-04-18,Diclofenac,M01AB,44,210,41,45,93,7.0
2014-04-19,Diclofenac,M01AB,58,220,64,229,165,7.34
2014-04-20,Diclofenac,M01AB,1,0,0,75,257,0.0
2014-04-21,Diclofenac,M01AB,10,40,5,39,95,1.34
2014-04-22,Diclofenac,M01AB,43,160,46,113,217,5.34
2014-04-23,Diclofenac,M01AB,38,190,20,151,19,6.34
2014-04-24,Diclofenac,M01AB,15,60,8,189,263,2.0
2014-04-25,Diclofenac,M01AB,18,90,9,132,346,3.0
2014-04-26,Diclofenac,M01AB,28,130,35,315,74,4.34
2014-04-27,Diclofenac,M01AB,25,120,28,188,307,4.0
2014-04-28,Diclofenac,M01AB,9,40,9,66,137,1.34
2014-04-29,Diclofenac,M01AB,25,99,34,338,293,3.33
2014-04-30,Diclofenac,M01AB,29,130,34,83,20,4.34
2014-05-01,Diclofenac,M01AB,1,0,1,234,236,0.0
2014-05-02,Diclofenac,M01AB,57,220,34,383,346,7.34
2014-05-03,Diclofenac,M01AB,24,120,17,127,162,4.0
2014-05-04,Diclofenac,M01AB,12,50,15,321,167,1.67
2014-05-05,Diclofenac,M01AB,20,90,17,29,42,3.0
2014-05-06,Diclofenac,M01AB,54,220,77,158,349,7.34
2014-05-07,Diclofenac,M01AB,27,99,20,11,123,3.33
2014-05-08,Diclofenac,M01AB,12,60,14,17,122,2.0
2014-05-09,Diclofenac,M01AB,13,60,18,386,58,2.0
2014-05-10,Diclofenac,M01AB,39,150,38,335,291,5.0
2014-05-11,Diclofenac,M01AB,15,60,18,362,97,2.0
2014-05-12,Diclofenac,M01AB,34,130,49,144,222,4.34
2014-05-13,Diclofenac,M01AB,25,110,34,360,339,3.68
2014-05-14,Diclofenac,M01AB,7,30,5,341,70,1.0
2014-05-15,Diclofenac,M01AB,14,70,15,119,119,2.34
2014-05-16,Diclofenac,M01AB,32,160,37,60,157,5.34
2014-05-17,Diclofenac,M01AB,17,70,21,237,90,2.34
2014-05-18,Diclofenac,M01AB,23,100,16,220,121,3.34
2014-05-19,Diclofenac,M01AB,48,250,66,104,293,8.34
2014-05-20,Diclofenac,M01AB,8,30,8,219,34,1.0
2014-05-21,Diclofenac,M01AB,15,60,7,262,329,2.0
2014-05-22,Diclofenac,M01AB,26,110,32,76,289,3.68
2014-05-23,Diclofenac,M01AB,41,150,61,15,209,5.0
2014-05-24,Diclofenac,M01AB,21,90,22,144,330,3.0
2014-05-25,Diclofenac,M01AB,15,60,7,326,275,2.0
2014-05-26,Diclofenac,M01AB,15,80,7,200,87,2.68
2014-05-27,Diclofenac,M01AB,1,0,1,186,199,0.0
2014-05-28,Diclofenac,M01AB,10,40,5,102,80,1.34
2014-05-29,Diclofenac,M01AB,32,120,19,162,155,4.0
2014-05-30,Diclofenac,M01AB,22,90,20,120,24,3.02
2014-05-31,Diclofenac,M01AB,39,170,46,114,272,5.67
2014-06-01,Diclofenac,M01AB,7,30,6,76,46,1.0
2014-06-02,Diclofenac,M01AB,22,120,14,355,76,4.0
2014-06-03,Diclofenac,M01AB,19,90,26,10,269,3.0
2014-06-04,Diclofenac,M01AB,6,30,7,299,44,1.0
2014-06-05,Diclofenac,M01AB,1,10,1,42,250,0.34
2014-06-06,Diclofenac,M01AB,41,150,43,103,54,5.0
2014-06-07,Diclofenac,M01AB,62,270,32,357,221,9.0
2014-06-08,Diclofenac,M01AB,7,30,8,358,350,1.0
2014-06-09,Diclofenac,M01AB,42,189,36,166,287,6.33
2014-06-10,Diclofenac,M01AB,70,260,43,394,257,8.68
2014-06-11,Diclofenac,M01AB,33,130,45,345,284,4.34
2014-06-12,Diclofenac,M01AB,28,130,34,178,180,4.34
2014-06-13,Diclofenac,M01AB,7,30,3,338,40,1.0
2014-06-14,Diclofenac,M01AB,32,120,19,134,134,4.0
2014-06-15,Diclofenac,M01AB,2,10,2,339,165,0.34
2014-06-16,Diclofenac,M01AB,35,130,48,110,206,4.34
2014-06-17,Diclofenac,M01AB,41,150,57,399,228,5.0
2014-06-18,Diclofenac,M01AB,13,60,19,308,254,2.0
2014-06-19,Diclofenac,M01AB,20,90,29,106,234,3.0
2014-06-20,Diclofenac,M01AB,43,220,21,99,201,7.34
2014-06-21,Diclofenac,M01AB,39,180,56,240,209,6.0
2014-06-22,Diclofenac,M01AB,28,120,29,348,103,4.0
2014-06-23,Diclofenac,M01AB,13,70,14,351,87,2.34
2014-06-24,Diclofenac,M01AB,22,90,24,222,232,3.0
2014-06-25,Diclofenac,M01AB,59,240,80,271,76,8.0
2014-06-26,Diclofenac,M01AB,22,90,15,380,150,3.0
2014-06-27,Diclofenac,M01AB,27,130,20,183,245,4.34
2014-06-28,Diclofenac,M01AB,2,10,2,384,250,0.34
2014-06-29,Diclofenac,M01AB,1,0,0,161,334,0.0
2014-06-30,Diclofenac,M01AB,35,180,17,67,164,6.0
2014-07-01,Diclofenac,M01AB,36,130,47,105,299,4.34
2014-07-02,Diclofenac,M01AB,21,90,13,213,274,3.0
2014-07-03,Diclofenac,M01AB,19,69,11,226,235,2.33
2014-07-04,Diclofenac,M01AB,31,130,29,10,254,4.34
2014-07-05,Diclofenac,M01AB,20,100,13,127,299,3.34
2014-07-06,Diclofenac,M01AB,25,120,34,305,323,4.0
2014-07-07,Diclofenac,M01AB,15,60,14,171,107,2.0
2014-07-08,Diclofenac,M01AB,51,190,41,277,218,6.34
2014-07-09,Diclofenac,M01AB,19,90,9,388,256,3.0
2014-07-10,Diclofenac,M01AB,13,69,15,242,290,2.33
2014-07-11,Diclofenac,M01AB,13,60,14,120,152,2.0
2014-07-12,Diclofenac,M01AB,64,250,33,134,333,8.34
2014-07-13,Diclofenac,M01AB,13,60,16,364,346,2.0
2014-07-14,Diclofenac,M01AB,35,150,47,95,113,5.0
2014-07-15,Diclofenac,M01AB,22,100,13,288,61,3.34
2014-07-16,Diclofenac,M01AB,29,120,30,253,274,4.0
2014-07-17,Diclofenac,M01AB,14,60,11,84,72,2.0
2014-07-18,Diclofenac,M01AB,67,270,78,207,173,9.0
2014-07-19,Diclofenac,M01AB,45,219,27,42,107,7.33
2014-07-20,Diclofenac,M01AB,23,90,29,138,290,3.0
2014-07-21,Diclofenac,M01AB,17,90,16,296,92,3.0
2014-07-22,Diclofenac,M01AB,30,150,26,157,268,5.0
2014-07-23,Diclofenac,M01AB,20,80,12,75,95,2.67
2014-07-24,Diclofenac,M01AB,33,160,21,389,24,5.34
2014-07-25,Diclofenac,M01AB,39,150,57,319,315,5.0
2014-07-26,Diclofenac,M01AB,23,120,18,49,309,4.0
2014-07-27,Diclofenac,M01AB,21,90,14,295,96,3.0
2014-07-28,Diclofenac,M01AB,15,60,17,24,164,2.0
2014-07-29,Diclofenac,M01AB,13,70,19,277,208,2.34
2014-07-30,Diclofenac,M01AB,4,20,4,217,100,0.68
2014-07-31,Diclofenac,M01AB,21,90,24,290,117,3.0
2014-08-01,Diclofenac,M01AB,11,60,12,287,240,2.0
2014-08-02,Diclofenac,M01AB,34,150,21,124,104,5.0
2014-08-03,Diclofenac,M01AB,34,150,38,352,112,5.0
2014-08-04,Diclofenac,M01AB,22,120,18,212,174,4.0
2014-08-05,Diclofenac,M01AB,11,60,6,219,56,2.0
2014-08-06,Diclofenac,M01AB,38,180,32,117,35,6.0
2014-08-07,Diclofenac,M01AB,25,100,27,165,113,3.34
2014-08-08,Diclofenac,M01AB,29,150,21,315,315,5.02
2014-08-09,Diclofenac,M01AB,27,120,21,391,346,4.0
2014-08-10,Diclofenac,M01AB,32,120,33,206,152,4.0
2014-08-11,Diclofenac,M01AB,51,240,26,186,206,8.0
2014-08-12,Diclofenac,M01AB,1,0,0,69,238,0.0
2014-08-13,Diclofenac,M01AB,10,40,7,83,95,1.34
2014-08-14,Diclofenac,M01AB,32,120,37,202,31,4.0
2014-08-15,Diclofenac,M01AB,27,130,25,306,189,4.34
2014-08-16,Diclofenac,M01AB,55,240,45,291,53,8.0
2014-08-17,Diclofenac,M01AB,2,10,1,44,75,0.34
2014-08-18,Diclofenac,M01AB,26,130,27,129,135,4.34
2014-08-19,Diclofenac,M01AB,77,340,57,231,93,11.34
2014-08-20,Diclofenac,M01AB,33,160,41,73,113,5.34
2014-08-21,Diclofenac,M01AB,19,90,13,331,118,3.0
2014-08-22,Diclofenac,M01AB,37,190,24,29,251,6.34
2014-08-23,Diclofenac,M01AB,17,90,18,167,271,3.0
2014-08-24,Diclofenac,M01AB,18,90,19,288,194,3.0
2014-08-25,Diclofenac,M01AB,29,120,41,31,230,4.01
2014-08-26,Diclofenac,M01AB,15,70,21,308,144,2.34
2014-08-27,Diclofenac,M01AB,21,100,20,92,218,3.34
2014-08-28,Diclofenac,M01AB,15,70,15,238,348,2.34
2014-08-29,Diclofenac,M01AB,47,190,59,73,205,6.34
2014-08-30,Diclofenac,M01AB,26,110,37,261,228,3.68
2014-08-31,Diclofenac,M01AB,1,0,0,227,182,0.0
2014-09-01,Diclofenac,M01AB,21,100,26,107,34,3.34
2014-09-02,Diclofenac,M01AB,18,70,26,372,117,2.34
2014-09-03,Diclofenac,M01AB,43,210,32,245,139,7.0
2014-09-04,Diclofenac,M01AB,35,170,28,94,341,5.68
2014-09-05,Diclofenac,M01AB,32,120,34,76,15,4.0
2014-09-06,Diclofenac,M01AB,42,160,34,119,333,5.34
2014-09-07,Diclofenac,M01AB,15,60,11,333,131,2.0
2014-09-08,Diclofenac,M01AB,7,30,6,292,163,1.0
2014-09-09,Diclofenac,M01AB,41,190,20,27,119,6.34
2014-09-10,Diclofenac,M01AB,33,130,30,97,313,4.34
2014-09-11,Diclofenac,M01AB,1,0,1,195,253,0.0
2014-09-12,Diclofenac,M01AB,19,80,24,276,322,2.68
2014-09-13,Diclofenac,M01AB,19,90,25,148,256,3.0
2014-09-14,Diclofenac,M01AB,10,40,10,191,338,1.34
2014-09-15,Diclofenac,M01AB,7,40,9,275,248,1.34
2014-09-16,Diclofenac,M01AB,33,120,20,276,297,4.0
2014-09-17,Diclofenac,M01AB,16,70,16,289,257,2.34
2014-09-18,Diclofenac,M01AB,22,90,19,352,168,3.0
2014-09-19,Diclofenac,M01AB,14,60,20,368,174,2.0
2014-09-20,Diclofenac,M01AB,25,130,28,376,198,4.34
2014-09-21,Diclofenac,M01AB,6,30,3,394,279,1.0
2014-09-22,Diclofenac,M01AB,27,100,28,333,343,3.34
2014-09-23,Diclofenac,M01AB,20,90,21,99,288,3.0
2014-09-24,Diclofenac,M01AB,36,180,40,316,34,6.0
2014-09-25,Diclofenac,M01AB,38,140,54,388,206,4.68
2014-09-26,Diclofenac,M01AB,30,120,35,122,232,4.0
2014-09-27,Diclofenac,M01AB,28,120,30,327,297,4.0
2014-09-28,Diclofenac,M01AB,2,10,2,130,76,0.34
2014-09-29,Diclofenac,M01AB,52,210,51,73,196,7.0
2014-09-30,Diclofenac,M01AB,69,300,70,65,231,10.0
2014-10-01,Diclofenac,M01AB,17,70,19,366,306,2.34
2014-10-02,Diclofenac,M01AB,16,60,8,193,84,2.0
2014-10-03,Diclofenac,M01AB,30,129,34,105,227,4.33
2014-10-04,Diclofenac,M01AB,33,140,37,374,339,4.68
2014-10-05,Diclofenac,M01AB,15,60,18,381,95,2.0
2014-10-06,Diclofenac,M01AB,43,160,61,46,62,5.34
2014-10-07,Diclofenac,M01AB,21,90,17,90,182,3.0
2014-10-08,Diclofenac,M01AB,24,110,21,212,95,3.68
2014-10-09,Diclofenac,M01AB,7,30,5,239,253,1.0
2014-10-10,Diclofenac,M01AB,33,130,24,187,96,4.34
2014-10-11,Diclofenac,M01AB,27,100,20,298,101,3.34
2014-10-12,Diclofenac,M01AB,17,90,18,131,294,3.0
2014-10-13,Diclofenac,M01AB,9,50,10,360,271,1.68
2014-10-14,Diclofenac,M01AB,21,90,16,288,123,3.0
2014-10-15,Diclofenac,M01AB,10,39,5,235,161,1.33
2014-10-16,Diclofenac,M01AB,56,203,58,182,336,6.775
2014-10-17,Diclofenac,M01AB,17,90,9,344,168,3.0
2014-10-18,Diclofenac,M01AB,27,120,37,223,246,4.0
2014-10-19,Diclofenac,M01AB,23,99,25,348,43,3.33
2014-10-20,Diclofenac,M01AB,26,100,24,51,137,3.34
2014-10-21,Diclofenac,M01AB,16,70,22,270,163,2.34
2014-10-22,Diclofenac,M01AB,18,99,16,220,25,3.33
2014-10-23,Diclofenac,M01AB,7,40,9,313,133,1.34
2014-10-24,Diclofenac,M01AB,27,110,23,128,72,3.67
2014-10-25,Diclofenac,M01AB,17,69,17,128,235,2.33
2014-10-26,Diclofenac,M01AB,26,100,14,396,157,3.34
2014-10-27,Diclofenac,M01AB,60,250,60,379,259,8.34
2014-10-28,Diclofenac,M01AB,31,120,21,197,254,4.0
2014-10-29,Diclofenac,M01AB,41,150,51,48,348,5.0
2014-10-30,Diclofenac,M01AB,1,0,0,64,269,0.0
2014-10-31,Diclofenac,M01AB,11,60,5,349,142,2.0
2014-11-01,Diclofenac,M01AB,17,69,22,118,36,2.33
2014-11-02,Diclofenac,M01AB,29,120,35,337,171,4.0
2014-11-03,Diclofenac,M01AB,45,210,47,46,334,7.0
2014-11-04,Diclofenac,M01AB,45,189,48,42,91,6.33
2014-11-05,Diclofenac,M01AB,1,0,1,394,209,0.0
2014-11-06,Diclofenac,M01AB,35,180,40,112,67,6.0
2014-11-07,Diclofenac,M01AB,42,180,33,220,175,6.0
2014-11-08,Diclofenac,M01AB,95,360,127,268,48,12.0
2014-11-09,Diclofenac,M01AB,26,100,31,176,89,3.34
2014-11-10,Diclofenac,M01AB,7,30,5,312,157,1.0
2014-11-11,Diclofenac,M01AB,65,240,48,187,147,8.0
2014-11-12,Diclofenac,M01AB,21,90,29,157,115,3.0
2014-11-13,Diclofenac,M01AB,50,240,27,68,307,8.0
2014-11-14,Diclofenac,M01AB,32,160,34,181,254,5.34
2014-11-15,Diclofenac,M01AB,28,129,27,21,308,4.33
2014-11-16,Diclofenac,M01AB,12,60,16,163,311,2.0
2014-11-17,Diclofenac,M01AB,51,270,38,98,258,9.0
2014-11-18,Diclofenac,M01AB,17,80,19,148,304,2.67
2014-11-19,Diclofenac,M01AB,9,40,12,256,135,1.34
2014-11-20,Diclofenac,M01AB,31,120,19,46,337,4.0
2014-11-21,Diclofenac,M01AB,7,40,7,261,75,1.34
2014-11-22,Diclofenac,M01AB,36,180,29,261,159,6.0
2014-11-23,Diclofenac,M01AB,23,120,26,47,113,4.0
2014-11-24,Diclofenac,M01AB,29,120,22,265,198,4.0
2014-11-25,Diclofenac,M01AB,32,160,18,116,277,5.36
2014-11-26,Diclofenac,M01AB,22,90,24,207,138,3.0
2014-11-27,Diclofenac,M01AB,53,210,44,155,269,7.0
2014-11-28,Diclofenac,M01AB,22,90,17,379,26,3.02
2014-11-29,Diclofenac,M01AB,22,90,26,83,259,3.0
2014-11-30,Diclofenac,M01AB,38,170,48,139,16,5.68
2014-12-01,Diclofenac,M01AB,24,130,24,375,191,4.34
2014-12-02,Diclofenac,M01AB,49,209,39,271,255,6.99
2014-12-03,Diclofenac,M01AB,31,120,27,66,199,4.0
2014-12-04,Diclofenac,M01AB,24,90,14,196,324,3.0
2014-12-05,Diclofenac,M01AB,15,60,12,35,241,2.02
2014-12-06,Diclofenac,M01AB,23,100,33,182,251,3.34
2014-12-07,Diclofenac,M01AB,31,150,18,67,307,5.0
2014-12-08,Diclofenac,M01AB,7,30,4,66,281,1.0
2014-12-09,Diclofenac,M01AB,6,30,8,35,159,1.0
2014-12-10,Diclofenac,M01AB,26,100,24,311,129,3.34
2014-12-11,Diclofenac,M01AB,19,70,20,362,325,2.34
2014-12-12,Diclofenac,M01AB,51,190,49,305,190,6.34
2014-12-13,Diclofenac,M01AB,5,30,4,104,303,1.0
2014-12-14,Diclofenac,M01AB,83,300,42,212,207,10.0
2014-12-15,Diclofenac,M01AB,34,160,35,260,17,5.34
2014-12-16,Diclofenac,M01AB,45,190,32,379,306,6.34
2014-12-17,Diclofenac,M01AB,22,90,28,367,238,3.0
2014-12-18,Diclofenac,M01AB,30,150,22,159,52,5.0
2014-12-19,Diclofenac,M01AB,1,0,0,111,217,0.0
2014-12-20,Diclofenac,M01AB,5,30,3,278,169,1.0
2014-12-21,Diclofenac,M01AB,24,129,16,120,35,4.33
2014-12-22,Diclofenac,M01AB,27,100,39,82,85,3.34
2014-12-23,Diclofenac,M01AB,60,315,86,240,255,10.5
2014-12-24,Diclofenac,M01AB,7,30,4,140,277,1.0
2014-12-25,Diclofenac,M01AB,64,250,64,238,153,8.34
2014-12-26,Diclofenac,M01AB,21,99,20,109,145,3.33
2014-12-27,Diclofenac,M01AB,51,219,36,128,206,7.33
2014-12-28,Diclofenac,M01AB,14,70,12,81,118,2.34
2014-12-29,Diclofenac,M01AB,18,69,17,386,37,2.33
2014-12-30,Diclofenac,M01AB,53,270,43,367,293,9.0
2014-12-31,Diclofenac,M01AB,33,170,16,184,242,5.67
2015-01-01,Diclofenac,M01AB,1,0,0,76,216,0.0
2015-01-02,Diclofenac,M01AB,47,180,27,88,285,6.0
2015-01-03,Diclofenac,M01AB,64,270,87,330,206,9.0
2015-01-04,Diclofenac,M01AB,31,140,21,166,111,4.68
2015-01-05,Diclofenac,M01AB,15,70,9,73,274,2.34
2015-01-06,Diclofenac,M01AB,20,90,28,190,313,3.0
2015-01-07,Diclofenac,M01AB,1,0,1,26,340,0.0
2015-01-08,Diclofenac,M01AB,13,60,18,137,44,2.0
2015-01-09,Diclofenac,M01AB,20,90,10,296,59,3.0
2015-01-10,Diclofenac,M01AB,48,180,32,299,23,6.0
2015-01-11,Diclofenac,M01AB,20,90,26,387,54,3.0
2015-01-12,Diclofenac,M01AB,18,69,13,142,165,2.33
2015-01-13,Diclofenac,M01AB,75,310,47,62,39,10.34
2015-01-14,Diclofenac,M01AB,17,90,14,148,211,3.0
2015-01-15,Diclofenac,M01AB,55,200,39,260,178,6.67
2015-01-16,Diclofenac,M01AB,40,189,36,191,172,6.33
2015-01-17,Diclofenac,M01AB,41,200,29,37,323,6.68
2015-01-18,Diclofenac,M01AB,26,120,14,226,59,4.0
2015-01-19,Diclofenac,M01AB,36,160,22,268,200,5.34
2015-01-20,Diclofenac,M01AB,33,130,32,159,332,4.34
2015-01-21,Diclofenac,M01AB,32,120,26,16,36,4.0
2015-01-22,Diclofenac,M01AB,28,120,22,66,148,4.0
2015-01-23,Diclofenac,M01AB,29,110,25,203,89,3.67
2015-01-24,Diclofenac,M01AB,36,130,39,220,105,4.34
2015-01-25,Diclofenac,M01AB,31,120,33,25,333,4.0
2015-01-26,Diclofenac,M01AB,50,255,41,231,271,8.5
2015-01-27,Diclofenac,M01AB,21,80,16,198,311,2.67
2015-01-28,Diclofenac,M01AB,20,90,19,145,62,3.0
2015-01-29,Diclofenac,M01AB,31,130,21,296,185,4.34
2015-01-30,Diclofenac,M01AB,6,30,4,18,258,1.0
2015-01-31,Diclofenac,M01AB,62,250,43,51,261,8.34
2015-02-01,Diclofenac,M01AB,24,130,35,253,188,4.34
2015-02-02,Diclofenac,M01AB,35,180,45,252,299,6.0
2015-02-03,Diclofenac,M01AB,24,99,21,257,167,3.33
2015-02-04,Diclofenac,M01AB,17,70,12,141,153,2.34
2015-02-05,Diclofenac,M01AB,11,60,7,117,312,2.0
2015-02-06,Diclofenac,M01AB,19,99,27,27,264,3.33
2015-02-07,Diclofenac,M01AB,15,60,19,301,216,2.0
2015-02-08,Diclofenac,M01AB,9,40,8,137,192,1.34
2015-02-09,Diclofenac,M01AB,27,99,29,40,195,3.33
2015-02-10,Diclofenac,M01AB,25,109,27,231,315,3.66
2015-02-11,Diclofenac,M01AB,24,90,25,284,228,3.0
2015-02-12,Diclofenac,M01AB,20,90,22,100,53,3.0
2015-02-13,Diclofenac,M01AB,46,180,23,311,20,6.01
2015-02-14,Diclofenac,M01AB,31,129,23,359,260,4.33
2015-02-15,Diclofenac,M01AB,97,350,119,220,199,11.68
2015-02-16,Diclofenac,M01AB,24,90,27,365,50,3.01
2015-02-17,Diclofenac,M01AB,42,159,27,294,126,5.33
2015-02-18,Diclofenac,M01AB,8,30,6,267,187,1.0
2015-02-19,Diclofenac,M01AB,11,60,12,114,345,2.0
2015-02-20,Diclofenac,M01AB,41,159,21,121,218,5.33
2015-02-21,Diclofenac,M01AB,19,90,24,376,112,3.0
2015-02-22,Diclofenac,M01AB,14,60,8,177,106,2.0
2015-02-23,Diclofenac,M01AB,28,150,26,336,214,5.0
2015-02-24,Diclofenac,M01AB,26,110,16,19,74,3.68
2015-02-25,Diclofenac,M01AB,42,210,58,162,237,7.0
